trial_number,trial_id,actor_id,target_emotion,target_image_path,mask_image_path,repetition
1,T001,09F,neutral,resources/NimStim_ER/09F_NE_C_MIRROR.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
2,T002,37M,fearful,resources/NimStim_ER/37M_FE_C.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
3,T003,18F,happy,resources/NimStim_ER/18F_HA_C.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
4,T004,13F,angry,resources/NimStim_ER/13F_AN_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
5,T005,39M,neutral,resources/NimStim_ER/39M_NE_C_MIRROR.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
6,T006,40M,happy,resources/NimStim_ER/40M_HA_C.BMP,resources/NimStim_ER/40M_NE_C.BMP,1
7,T007,34M,angry,resources/NimStim_ER/34M_AN_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
8,T008,01F,fearful,resources/NimStim_ER/01F_FE_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,1
9,T009,32M,fearful,resources/NimStim_ER/32M_FE_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
10,T010,07F,happy,resources/NimStim_ER/07F_HA_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,1
11,T011,40M,neutral,resources/NimStim_ER/40M_NE_C_MIRROR.BMP,resources/NimStim_ER/40M_NE_C.BMP,2
12,T012,32M,angry,resources/NimStim_ER/32M_AN_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,1
13,T013,34M,fearful,resources/NimStim_ER/34M_FE_C.BMP,resources/NimStim_ER/34M_NE_C.BMP,2
14,T014,39M,angry,resources/NimStim_ER/39M_AN_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,1
15,T015,07F,happy,resources/NimStim_ER/07F_HA_C.BMP,resources/NimStim_ER/07F_NE_C.BMP,2
16,T016,37M,neutral,resources/NimStim_ER/37M_NE_C_MIRROR.BMP,resources/NimStim_ER/37M_NE_C.BMP,1
17,T017,13F,happy,resources/NimStim_ER/13F_HA_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,1
18,T018,09F,angry,resources/NimStim_ER/09F_AN_C.BMP,resources/NimStim_ER/09F_NE_C.BMP,1
19,T019,18F,neutral,resources/NimStim_ER/18F_NE_C_MIRROR.BMP,resources/NimStim_ER/18F_NE_C.BMP,1
20,T020,01F,fearful,resources/NimStim_ER/01F_FE_C.BMP,resources/NimStim_ER/01F_NE_C.BMP,2
21,T021,32M,angry,resources/NimStim_ER/32M_AN_C.BMP,resources/NimStim_ER/32M_NE_C.BMP,2
22,T022,39M,happy,resources/NimStim_ER/39M_HA_C.BMP,resources/NimStim_ER/39M_NE_C.BMP,2
23,T023,13F,fearful,resources/NimStim_ER/13F_FE_C.BMP,resources/NimStim_ER/13F_NE_C.BMP,2
